temperature,code,Stress,Time,process,LMP
650,MEE,33,12594.8,Hot Extruded,29091.58837
650,MEF,33,3983.6,Rotary pierced,29091.58837
650,MEG,33,16969.6,Hot Extruded,29091.58837
650,MEH,33,10676.2,Hot Extruded,29091.58837
650,MEJ,33,9435.7,Hot Extruded,29091.58837
650,MEL,33,5210.5,Rotary pierced,29091.58837
650,MEM,33,14475.9,Hot Extruded,29091.58837
650,MEN,33,5624.6,Rotary pierced,29091.58837
650,MEB,29,26120.8,Hot Extruded,29039.79335
650,MEC,29,21484.4,Hot Extruded,29039.79335
650,MED,29,9916.7,Rotary pierced,29039.79335
650,MEE,29,23875.1,Hot Extruded,29039.79335
650,MEF,29,7889.1,Rotary pierced,29039.79335
650,MEG,29,42431.2,Hot Extruded,29039.79335
650,MEH,29,21360.5,Hot Extruded,29039.79335
650,MEJ,29,18773,Hot Extruded,29039.79335
650,MEL,29,10525,Rotary pierced,29039.79335
650,MEM,29,27255,Hot Extruded,29039.79335
650,MEN,29,13361.4,Rotary pierced,29039.79335
700,MEB,37,217.5,Hot Extruded,30715.86028
700,MEC,37,193.3,Hot Extruded,30715.86028
700,MED,37,131.3,Rotary pierced,30715.86028
700,MEE,37,187.3,Hot Extruded,30715.86028
700,MEF,37,107.2,Rotary pierced,30715.86028
700,MEG,37,285.7,Hot Extruded,30715.86028
700,MEH,37,199.7,Hot Extruded,30715.86028
700,MEJ,37,127.4,Hot Extruded,30715.86028
700,MEL,37,115.7,Rotary pierced,30715.86028
700,MEM,37,159.3,Hot Extruded,30715.86028
700,MEN,37,164.3,Rotary pierced,30715.86028
700,MEB,29,732.5,Hot Extruded,30612.91325
700,MEC,29,540.3,Hot Extruded,30612.91325
700,MED,29,368.2,Rotary pierced,30612.91325
700,MEE,29,567.6,Hot Extruded,30612.91325
700,MEF,29,312.9,Rotary pierced,30612.91325
700,MEG,29,864.7,Hot Extruded,30612.91325
700,MEH,29,599.1,Hot Extruded,30612.91325
700,MEJ,29,408,Hot Extruded,30612.91325
700,MEL,29,355.2,Rotary pierced,30612.91325
700,MEM,29,717.2,Hot Extruded,30612.91325
700,MEN,29,561.6,Rotary pierced,30612.91325
700,MEB,26,1238,Hot Extruded,30566.76907
700,MEC,26,1057.9,Hot Extruded,30566.76907
700,MED,26,567.3,Rotary pierced,30566.76907
700,MEE,26,1069.6,Hot Extruded,30566.76907
700,MEF,26,473.8,Rotary pierced,30566.76907
700,MEG,26,2116.6,Hot Extruded,30566.76907
700,MEH,26,1064.6,Hot Extruded,30566.76907
700,MEJ,26,743.5,Hot Extruded,30566.76907
700,MEL,26,558.8,Rotary pierced,30566.76907
700,MEM,26,1257.4,Hot Extruded,30566.76907
700,MEN,26,901.2,Rotary pierced,30566.76907
700,MEB,22,3085.1,Hot Extruded,30496.17727
700,MEC,22,2364.2,Hot Extruded,30496.17727
700,MED,22,1220.9,Rotary pierced,30496.17727
700,MEE,22,2133.1,Hot Extruded,30496.17727
700,MEF,22,1118.4,Rotary pierced,30496.17727
700,MEG,22,3957.3,Hot Extruded,30496.17727
700,MEH,22,2135.6,Hot Extruded,30496.17727
700,MEJ,22,1928.4,Hot Extruded,30496.17727
700,MEL,22,1095.2,Rotary pierced,30496.17727
700,MEM,22,3783.4,Hot Extruded,30496.17727
700,MEN,22,2937.8,Rotary pierced,30496.17727
700,MEB,18,6400.4,Hot Extruded,30411.38015
700,MEC,18,5087.9,Hot Extruded,30411.38015
700,MED,18,2421.6,Rotary pierced,30411.38015
700,MEE,18,4770.4,Hot Extruded,30411.38015
700,MEF,18,2548.7,Rotary pierced,30411.38015
700,MEG,18,9537.4,Hot Extruded,30411.38015
700,MEH,18,5188.6,Hot Extruded,30411.38015
700,MEJ,18,3787.5,Hot Extruded,30411.38015
700,MEL,18,2268.6,Rotary pierced,30411.38015
700,MEM,18,8663.9,Hot Extruded,30411.38015
700,MEN,18,11278.4,Rotary pierced,30411.38015
