temperature,code,Stress,Time,process,LMP,C
600,MEH,61,14573.2,Hot Extruded,29824.78345,31.09723936
600,MEJ,61,6074,Hot Extruded,29492.97349,31.08980533
600,MEL,61,9790.3,Rotary pierced,29673.96491,30.69237509
600,MEM,61,5141,Hot Extruded,29429.74456,30.86874193
600,MEN,61,3884.3,Rotary pierced,29323.47004,30.83797228
600,MEB,53,41585.5,Hot Extruded,30222.3363,30.59945093
600,MEC,53,36594.3,Hot Extruded,30173.85994,30.79831384
600,MED,53,24521,Rotary pierced,30022.06683,30.57542502
600,MEE,53,50663.7,Hot Extruded,30297.2004,30.85941537
600,MEF,53,27320.8,Rotary pierced,30063.05875,31.05985733
600,MEG,53,24579,Hot Extruded,30022.96255,30.71607384
600,MEH,53,52717.5,Hot Extruded,30312.26655,30.6104326
600,MEJ,53,14769.9,Hot Extruded,29829.86661,30.62467251
600,MEL,53,16437.1,Rotary pierced,29870.4154,30.8566466
600,MEM,53,15024.9,Hot Extruded,29836.35652,30.5842666
600,MEN,53,9468.8,Rotary pierced,29661.30549,30.96434674
650,MEB,53,437.3,Hot Extruded,30127.43946,29.98211975
650,MEC,53,565.3,Hot Extruded,30230.3535,30.06117422
650,MED,53,363.4,Rotary pierced,30053.23528,29.93226289
650,MEE,53,558.4,Hot Extruded,30225.43061,30.08952729
650,MEF,53,253,Rotary pierced,29908.08024,29.9169982
650,MEG,53,389.8,Hot Extruded,30081.34701,29.98763358
650,MEH,53,594.6,Hot Extruded,30250.60959,29.82649528
650,MEJ,53,343.2,Hot Extruded,30030.31014,30.03283783
650,MEL,53,376.4,Rotary pierced,30067.32459,29.75919991
650,MEM,53,261.6,Hot Extruded,29921.47963,29.90843034
650,MEN,53,319.9,Rotary pierced,30002.12814,29.8684464
600,MEB,47,105620.8,Hot Extruded,30575.73327,30.83223601
600,MEC,47,70369.2,Hot Extruded,30421.76502,30.64996051
600,MED,47,49491.3,Rotary pierced,30288.3237,30.77205546
600,MEE,47,75535.7,Hot Extruded,30448.62692,30.95360338
600,MEF,47,35438.9,Rotary pierced,30161.69624,30.8845004
600,MEF,47,35712.8,Hot Extruded,30164.61527,30.63412199
600,MEF,47,35304,Hot Extruded,30160.25028,30.68628083
600,MEG,47,71752,Hot Extruded,30429.14309,30.88326836
600,MEH,47,75981.6,Rotary pierced,30450.85846,30.69969609
600,MEJ,47,38532.6,Hot Extruded,30193.42812,30.84807114
600,MEL,47,54356.7,Rotary pierced,30323.87594,31.05831513
600,MEM,47,37488.6,Hot Extruded,30183.01402,30.81133155
600,MEN,47,23319.2,Hot Extruded,30003.01401,30.52957815
600,MEJ,41,99083.2,Rotary pierced,30551.50802,30.84897501
600,MEM,41,162634,Hot Extruded,30739.3875,30.70419414
600,MEN,41,51324.5,Rotary pierced,30302.11349,30.70209102
650,MEB,41,6707.3,Hot Extruded,31221.90356,30.30440453
650,MEC,41,3023,Hot Extruded,30902.44441,30.11853308
650,MED,41,2170.6,Rotary pierced,30769.66315,30.27324158
650,MEE,41,3670.5,Hot Extruded,30980.24139,30.35810482
650,MEF,41,1349.7,Rotary pierced,30579.20898,30.31228285
650,MEG,41,4061.3,Hot Extruded,31020.79786,30.06254274
650,MEH,41,3861,Hot Extruded,31000.52392,30.36061664
650,MEJ,41,2599.2,Hot Extruded,30841.89704,30.41669437
650,MEL,41,2534.4,Rotary pierced,30831.77677,30.25478186
650,MEM,41,2158,Hot Extruded,30767.32948,29.92460357
650,MEN,41,1797.4,Rotary pierced,30694.03709,30.07665873
650,MEB,37,10365.4,Hot Extruded,31396.38594,30.13306414
650,MEC,37,6112.5,Hot Extruded,31184.68002,30.14826173
650,MED,37,3686.1,Rotary pierced,30981.94145,29.95101025
650,MEE,37,5902.3,Hot Extruded,31170.65264,30.12357675
650,MEF,37,2984.2,Rotary pierced,30897.26618,30.21743019
650,MEG,37,9295.5,Hot Extruded,31352.71575,30.02920308
650,MEH,37,6247.5,Hot Extruded,31193.43688,30.13774142
650,MEJ,37,5033.3,Hot Extruded,31106.81015,30.21789585
650,MEL,37,3605.8,Rotary pierced,30973.11251,30.17898738
650,MEM,37,7763.9,Hot Extruded,31280.54378,30.04950705
650,MEN,37,2927.2,Rotary pierced,30889.53556,30.25076195
700,MEB,37,217.5,Hot Extruded,31464.34786,30.29849568
700,MEC,37,193.3,Hot Extruded,31414.50359,30.22683434
700,MED,37,131.3,Rotary pierced,31251.07158,30.01926955
700,MEE,37,187.3,Hot Extruded,31401.17926,30.26530704
700,MEF,37,107.2,Rotary pierced,31165.37953,30.30338997
700,MEG,37,285.7,Hot Extruded,31579.60066,30.3124937
700,MEH,37,199.7,Hot Extruded,31428.26786,29.88396491
700,MEJ,37,127.4,Hot Extruded,31238.32985,30.42755611
700,MEL,37,115.7,Rotary pierced,31197.62336,30.4053398
700,MEM,37,159.3,Hot Extruded,31332.75595,30.45590059
700,MEN,37,164.3,Rotary pierced,31345.81535,29.75941103
650,MEB,33,13849.6,Hot Extruded,31512.54656,30.0389822
650,MEC,33,11515.5,Hot Extruded,31438.56402,30.27765982
650,MED,33,5891.9,Rotary pierced,31169.9457,30.39556936
650,MEE,33,12594.8,Hot Extruded,31474.47655,29.77303784
650,MEF,33,3983.6,Rotary pierced,31013.05449,30.11914742
650,MEG,33,16969.6,Hot Extruded,31593.98689,30.03486034
650,MEH,33,10676.2,Hot Extruded,31408.22861,29.9909205
650,MEJ,33,9435.7,Hot Extruded,31358.71652,30.01288577
650,MEL,33,5210.5,Rotary pierced,31120.67969,30.18474587
650,MEM,33,14475.9,Hot Extruded,31530.27587,30.26553413
650,MEN,33,5624.6,Rotary pierced,31151.33459,29.90369694
650,MEB,29,26120.8,Hot Extruded,31766.87852,30.20868898
650,MEC,29,21484.4,Hot Extruded,31688.54974,30.0763431
650,MED,29,9916.7,Rotary pierced,31378.6469,30.05765574
650,MEE,29,23875.1,Hot Extruded,31730.84342,30.12117674
650,MEF,29,7889.1,Rotary pierced,31286.95635,30.09638331
650,MEG,29,42431.2,Hot Extruded,31961.35355,30.20736288
650,MEH,29,21360.5,Hot Extruded,31686.23134,30.26687069
650,MEJ,29,18773,Hot Extruded,31634.47159,30.17242763
650,MEL,29,10525,Rotary pierced,31402.511,30.06092812
650,MEM,29,27255,Hot Extruded,31783.91683,30.06626169
650,MEN,29,13361.4,Rotary pierced,31498.16136,30.22236527
700,MEB,29,732.5,Hot Extruded,31977.45782,30.21056771
700,MEC,29,540.3,Hot Extruded,31848.85382,29.85120692
700,MED,29,368.2,Rotary pierced,31686.79952,30.07171391
700,MEE,29,567.6,Hot Extruded,31869.68324,30.15978385
700,MEF,29,312.9,Rotary pierced,31618.02961,30.12664528
700,MEG,29,864.7,Hot Extruded,32047.57009,29.97434107
700,MEH,29,599.1,Hot Extruded,31892.50684,30.16330231
700,MEJ,29,408,Hot Extruded,31730.17234,30.23398054
700,MEL,29,355.2,Rotary pierced,31671.61019,30.17891314
700,MEM,29,717.2,Hot Extruded,31968.53799,29.979959
700,MEN,29,561.6,Rotary pierced,31865.19257,30.22027795
700,MEB,26,1238,Hot Extruded,32199.21719,29.96352441
700,MEC,26,1057.9,Hot Extruded,32132.78461,30.00819741
700,MED,26,567.3,Rotary pierced,31869.45984,29.73980965
700,MEE,26,1069.6,Hot Extruded,32137.43242,30.00768871
700,MEF,26,473.8,Rotary pierced,31793.35399,30.0520115
700,MEG,26,2116.6,Hot Extruded,32425.84654,29.75932636
700,MEH,26,1064.6,Hot Extruded,32135.45243,29.98271323
700,MEJ,26,743.5,Hot Extruded,31983.75639,30.08238178
700,MEL,26,558.8,Rotary pierced,31863.08047,30.11036555
700,MEM,26,1257.4,Hot Extruded,32205.78767,29.80949035
700,MEN,26,901.2,Rotary pierced,32065.04101,30.07387016
